delta_early,G,density
-189,0.3713835311572701,0.4487728454022023
-359,0.5457461977186312,0.3063166629767183
-198,0.37041541916167664,0.44654222232497087
-263,0.413234819121447,0.40929020039214636
-368,0.3960755813953488,0.22972415442888333
-306,0.3575973053892215,0.2237413518062898
-143,0.03300117861352192,0.039271833305396804
-292,0.46218607305936077,0.14926424880346756
-192,0.4169568245125348,0.4448911523210877
-215,0.09195243362831862,0.06833609488606604
-213,0.2859848484848485,0.4258795150139989
-297,0.43357591324200917,0.1640004165199192
-398,0.4706644144144144,0.33125678872205905
-360,0.4967512376237624,0.3327082530853469
-292,0.3871772300469484,0.15413104036203706
-180,0.02026098901098905,0.04685998725423893
-111,0.054629629629629695,0.03155009086836774
-17,-0.05795454545454548,0.5595745217009616
-365,0.46998279816513766,0.21150863500218908
-188,0.14022935426768257,0.058597304023972036
1,0.1257267441860465,0.5522408774759239
-139,0.0455399061032864,0.038531686507948894
-296,0.3772793340380549,0.3858546988588898
-264,0.40498096446700504,0.1355104587901583
-367,0.47395833333333337,0.22519039810505492
-219,0.3768092105263158,0.4419618206915529
-360,0.268970893970894,0.17089956630493738
-278,0.27030812324929976,0.11603166746646612
-95,0.1823352510460251,0.5154957562422392
-365,0.3941430020283976,0.22107381237987525
-213,0.2063492063492064,0.07240593548225888
-249,0.3363486842105263,0.11204405324459489
-138,0.03125,0.046867824049983624
-327,0.328375,0.31147412584851686
-349,0.4471741344195519,0.19109699363237426
-157,0.02131968873254453,0.04095646643567944
-204,0.1540190375462719,0.07418179625378775
-179,0.0,0.04847825620315807
-368,0.555239312267658,0.2861533103819102
-235,0.19019396551724133,0.0825742081800285
-331,0.3721987051792829,0.21928038273864733
4,0.007716049382716028,0.555383330729069
-81,0.2634966777408638,0.4773805733824055
-215,0.4060897435897436,0.42867846369957774
-346,0.533941947565543,0.2154980512949848
-251,0.43900401069518713,0.41980693895488347
-200,0.4352868271954674,0.45896001429467304
-14,-0.03343023255813954,0.5411273921398646
-404,0.5216884328358209,0.23009870692654236
-123,0.39147824232081907,0.4819297737505994
-348,0.4632642998027613,0.2963109046866372
-36,0.060472972972972994,0.5453758592903141
-328,0.42701903292181065,0.38654645547666483
-51,0.24816945606694563,0.5327050061831811
-387,0.41584737827715357,0.22410105042305564
-353,0.41145833333333337,0.21598955426739652
-350,0.4170509708737864,0.3278779725402766
-347,0.4803779069767442,0.18488743813331587
-180,0.019847972972973027,0.050465380592219826
-286,0.49338037634408605,0.3740473669229048
-183,0.42378826530612246,0.42027955895296
-48,0.19202686915887845,0.5235210896706751
-256,0.20600895316804413,0.12029227928316183
-110,0.29934210526315785,0.46397934143617814
-378,0.45407557034220536,0.2342215434117497
-281,0.47574680974477956,0.41384454460027686
-279,0.44821859903381644,0.13217952360483093
-337,0.41145833333333337,0.39902601926878706
-13,-0.023722627737226276,0.5753738378397845
-227,0.10113378684807262,0.06465351981869642
-135,0.33508098006644516,0.48788686724916713
-81,0.2802400190114068,0.5170603775455024
-85,0.2682875560538116,0.5232782550883575
-356,0.4760416666666667,0.16472353858174088
